County,Region,CCL District,APS District
Runnels,2,Northwest,Northwest
Rusk,4,Northeast,East Central
Sabine,5,Southeast,East Central
San Augustine,5,Southeast,East Central
San Jacinto,5,Southeast,East Central
San Patricio,11,Southwest,South
San Saba,7,Northwest,East Central
Schleicher,9,Northwest,Northwest
Scurry,2,Northwest,Northwest
Shackelford,2,Northwest,Northwest
Shelby,5,Southeast,East Central
Sherman,1,Northwest,Northwest
Smith,4,Northeast,East Central
Somervell,3,Northeast,DFW
Starr,11,Southwest,South
Stephens,2,Northwest,Northwest
Sterling,9,Northwest,Northwest
Stonewall,2,Northwest,Northwest
Sutton,9,Northwest,Northwest
Swisher,1,Northwest,Northwest
Tarrant,3,Northeast,DFW
Taylor,2,Northwest,Northwest
Terrell,9,Northwest,Northwest
Terry,1,Northwest,Northwest
Throckmorton,2,Northwest,Northwest
Titus,4,Northeast,East Central
Tom Green,9,Northwest,Northwest
Travis,7,Northwest,East Central
Trinity,5,Southeast,East Central
Tyler,5,Southeast,East Central
Upshur,4,Northeast,East Central
Upton,9,Northwest,Northwest
Uvalde,8,Southwest,South
Val Verde,8,Southwest,South
Van Zandt,4,Northeast,East Central
Victoria,8,Southwest,South
Walker,6,Southeast,Houston
Waller,6,Southeast,Houston
Ward,9,Northwest,Northwest
Washington,7,Northwest,East Central
Webb,11,Southwest,South
Wharton,6,Southeast,Houston
Wheeler,1,Northwest,Northwest
Wichita,2,Northwest,Northwest
Wilbarger,2,Northwest,Northwest
Willacy,11,Southwest,South
Williamson,7,Northwest,East Central
Wilson,8,Southwest,South
Winkler,9,Northwest,Northwest
Wise,3,Northeast,DFW
Wood,4,Northeast,East Central
Yoakum,1,Northwest,Northwest
Young,2,Northwest,Northwest
Zapata,11,Southwest,South
Zavala,8,Southwest,South
